,City,Country,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
49,Trairi,BR,-3.278,-39.2679,78,34,94.91,7.96
50,San Antonio de Cortes,HN,15.1144,-88.0356,27,71,90.99,1.72
51,Clyde River,CA,70.4692,-68.5915,100,93,32.27,8.01
52,Provideniya,RU,64.4238,-173.2276,19,84,16.03,6.13
53,Rovaniemi,FI,66.4976,25.7192,100,99,34.14,4.59
54,Great Yarmouth,GB,52.6083,1.7305,100,83,50.65,16.2
55,Kharp,RU,66.8152,65.8009,55,94,16.34,8.25
56,Mtambile,TZ,-5.3834,39.7,100,81,81.63,13.4
57,Port Alfred,ZA,-33.5906,26.891,100,66,68.59,24.36
58,Zhezkazgan,KZ,47.8043,67.7144,0,38,45.34,8.1
59,Tuktoyaktuk,CA,69.444,-133.032,100,88,19.38,10.09
60,Vaini,IN,15.336,74.4926,98,97,69.53,10.51
61,Houston,US,29.7589,-95.3677,15,68,74.05,8.52
62,Hilo,US,19.7072,-155.0817,68,90,68.74,2.57
63,Punta Arenas,CL,-53.1627,-70.9081,100,48,52.86,21.72
64,Argayash,RU,55.4906,60.8754,91,81,40.91,7.65
65,Susanville,US,40.4163,-120.6531,97,45,39.09,2.33
66,Tamano,JP,34.493,133.9417,100,93,64.49,26.71
67,Banda Aceh,ID,5.5577,95.3222,100,91,73.54,4.43
68,Mataura,NZ,-46.1928,168.8643,93,94,43.97,12.86
69,Shizukuishi,JP,39.6964,140.9771,93,95,48.61,4.5
70,Nichinan,JP,31.6476,131.3148,0,80,71.92,11.63
71,Kapaa,US,22.0752,-159.319,14,88,74.14,2.73
72,Iralaya,HN,15.0,-83.2334,29,75,83.95,16.2
73,Saint-Philippe,CA,45.3584,-73.4791,60,63,56.82,7.92
74,Victoria,BN,5.2785,115.2423,99,71,84.54,8.46
75,Cardston,CA,49.2,-113.3167,93,67,39.78,18.19
76,Pitimbu,BR,-7.4729,-34.8113,21,54,89.22,11.61
77,Kodiak,US,39.9519,-94.7572,100,67,44.08,9.86
78,Mahibadhoo,MV,3.7833,72.9667,100,82,80.87,18.37
79,Noumea,NC,-22.2764,166.4572,39,68,68.36,15.95
80,Bubaque,GW,11.2833,-15.8334,100,76,82.26,12.68
81,Ponta Delgada,PT,37.7333,-25.6667,100,85,71.89,27.67
82,Lorengau,PG,-2.0226,147.2712,91,81,80.67,22.64
83,Otjiwarongo,NA,-20.4639,16.6493,0,8,95.43,18.28
84,Mayo,CA,63.5927,-135.8962,86,96,25.56,2.66
85,Eyl,SO,7.9808,49.8184,78,75,81.72,10.85
86,Necochea,AR,-38.5473,-58.7368,96,75,57.85,16.2
87,Bandarbeyla,SO,9.4942,50.8122,71,77,81.09,10.87
88,Nalut,LY,31.8642,10.983,0,19,82.22,12.21
89,Delta del Tigre,UY,-34.7602,-56.409,0,70,62.83,13.6
90,Kattivakkam,IN,13.2167,80.3167,100,82,82.9,17.25
91,Barrow,AR,-38.3131,-60.2291,97,66,60.01,8.79
92,Chokurdakh,RU,70.6192,147.9022,0,93,0.68,8.28
93,Taltal,CL,-25.408,-70.4859,0,70,59.68,8.01
94,Cherskiy,RU,68.75,161.3,100,96,1.29,3.94
95,Huarmey,PE,-10.0688,-78.1522,39,49,74.68,6.93
96,Pio XII,BR,-3.8912,-45.1711,54,33,101.23,3.22
97,Nikolskoye,RU,59.7035,30.7861,97,80,48.79,6.44
98,La Ronge,CA,55.1004,-105.3013,100,78,34.34,6.93
99,Mileanca,RO,48.0904,26.6941,0,50,64.22,7.74
100,Yinchuan,CN,38.4829,106.2116,21,33,39.45,3.44
101,Agadir,MA,30.4211,-9.5831,0,13,82.71,6.62
102,Avarua,CK,-21.2078,-159.775,5,73,73.78,5.46
103,Lady Frere,ZA,-31.7028,27.2336,100,9,77.76,21.43
104,Meulaboh,ID,4.1363,96.1285,100,81,79.25,4.9
105,Mana,NG,13.0278,5.2728,100,14,97.97,8.52
106,Windhoek,NA,-22.5745,17.0791,0,9,85.19,22.01
107,Mezen,RU,65.8522,44.24,98,92,29.23,5.86
108,Avera,US,33.194,-82.5271,6,57,71.85,8.01
109,Cabo San Lucas,MX,22.8938,-109.9112,0,57,80.46,2.91
110,Walvis Bay,NA,-22.9544,14.5075,8,42,70.34,12.68
111,San Quintin,PH,17.5427,120.5203,0,90,73.69,4.25
112,High Level,CA,58.5167,-117.1334,61,87,33.55,7.47
113,Hermanus,ZA,-34.4176,19.2361,96,59,70.09,24.16
114,Lazarev,RU,52.225,141.5131,100,85,42.91,16.28
115,Saint Anthony,US,43.9663,-111.6822,4,55,25.99,5.19
116,Dikson,RU,73.5069,80.5464,90,93,16.72,4.54
117,Camopi,GF,3.166,-52.3341,3,38,94.44,4.88
118,Airai,TL,-8.9266,125.4092,0,56,63.41,4.45
119,Grindavik,IS,63.8424,-22.4338,51,66,33.57,33.38
120,Amfissa,GR,38.5273,22.3784,0,35,65.88,3.76
121,Codrington,AU,-28.9484,153.2428,0,95,57.33,3.04
122,Bredasdorp,ZA,-34.5331,20.0428,100,21,77.36,13.31
123,Benghazi,LY,32.1171,20.067,32,60,73.8,12.86
124,Sioux Lookout,CA,50.1001,-91.9191,100,79,28.87,8.68
125,Bathsheba,BB,13.2167,-59.5167,99,71,88.02,13.71
126,San-Pedro,CI,4.7485,-6.6363,99,81,80.35,8.75
127,Xichang,CN,27.876,102.2549,100,97,47.89,3.56
128,Pevek,RU,69.7028,170.2747,100,93,14.02,14.0
129,Yangjiang,CN,21.8526,111.9594,49,83,71.56,3.09
130,Severo-Kurilsk,RU,50.6789,156.125,71,90,32.14,9.93
131,Benguela,AO,-12.5791,13.4037,14,76,82.62,7.43
132,Ilulissat,GL,69.2167,-51.1,100,60,32.52,11.86
133,Axim,GH,4.8654,-2.2422,87,77,83.16,5.01
134,Hearst,CA,49.6907,-83.6664,97,86,34.16,10.11
135,Matara,BI,-3.4812,29.4807,83,84,66.83,4.12
136,Maceio,BR,-9.6659,-35.7353,1,73,84.43,11.32
137,Altstatten,CH,47.3777,9.5475,100,70,62.91,2.82
138,Bayangol,MN,48.9147,106.0866,0,78,18.25,6.29
139,Atuona,PF,-9.8,-139.0334,70,74,79.03,11.59
140,Tarakan,ID,3.3,117.6333,73,78,82.18,6.2
141,Bouafle,FR,48.9645,1.9002,69,70,59.59,11.9
142,Katherine,AU,-14.4657,132.2631,44,73,77.63,6.4
143,Kingisepp,RU,59.3765,28.6113,92,86,47.05,7.2
144,Araouane,ML,18.9041,-3.5276,0,15,95.0,5.08
145,Hammerfest,NO,70.6634,23.6821,100,93,30.42,6.22
146,Te Anau,NZ,-45.4145,167.7175,84,79,39.42,5.23
147,Hamilton,CA,43.2552,-79.8683,51,67,56.34,13.87
148,Woodward,US,36.4336,-99.3904,100,62,39.87,18.25
149,Carutapera,BR,-1.2017,-46.0206,62,76,82.6,11.83
150,Kruisfontein,ZA,-34.0034,24.7314,100,75,60.67,3.04
151,Vostok,RU,46.448,135.8294,26,66,35.56,5.08
152,Beringovskiy,RU,63.05,179.3167,100,77,19.89,16.64
153,Ballitoville,ZA,-29.539,31.2144,37,87,61.16,3.53
154,Laguna,BZ,16.1684,-88.941,96,62,86.97,5.23
155,Vao,EE,59.1018,26.1904,87,92,46.45,6.51
156,Scottsbluff,US,41.8666,-103.6672,0,36,40.23,8.77
157,Sola,TZ,-3.1731,33.8019,62,49,77.72,12.33
158,Mogadishu,SO,2.0428,45.3386,33,81,83.07,12.28
159,Auki,NG,12.1824,6.5056,91,34,83.64,4.7
160,Mount Gambier,AU,-37.8302,140.7843,85,71,56.95,15.35
161,Port Elizabeth,US,39.3134,-74.9811,0,39,65.44,5.88
162,Arraial do Cabo,BR,-22.9663,-42.0245,13,80,77.04,21.18
163,Zyryanka,RU,65.7336,150.8933,66,90,-2.49,6.69
164,Jodhpur,IN,26.2968,73.0351,0,22,79.97,4.54
165,Churapcha,RU,62.0025,132.4325,97,93,11.12,1.34
166,Puerto Ayora,EC,-0.7394,-90.3518,82,71,74.1,11.01
167,Komsomolskiy,RU,67.5537,63.776,24,89,19.26,15.88
168,Chadiza,ZM,-14.0615,32.4345,55,37,82.11,9.37
169,Halifax,CA,44.6491,-63.5752,1,71,58.23,12.39
170,Vryburg,ZA,-26.9554,24.7301,0,13,76.33,10.56
171,Sembakung,ID,3.8167,117.25,100,89,76.87,3.11
172,Sagua de Tanamo,CU,20.5819,-75.2414,0,63,81.9,9.42
173,Havre-Saint-Pierre,CA,50.2334,-63.5987,37,83,46.96,22.15
174,Mahajanga,MG,-15.7167,46.3167,49,82,85.39,2.86
175,Atar,MR,20.5183,-13.0544,69,40,86.29,3.06
176,Coquimbo,CL,-29.9532,-71.3381,33,90,59.22,12.66
177,Slany,CZ,50.2305,14.0869,10,80,54.27,4.29
178,Nagaur,IN,27.1991,73.7417,0,22,77.95,2.64
179,Turukhansk,RU,65.7954,87.9608,100,95,30.65,17.34
180,Montepuez,MZ,-13.1254,39.0017,45,63,78.42,11.25
181,Prince Rupert,CA,54.3161,-130.3202,100,86,47.61,4.12
182,Klaksvik,FO,62.2266,-6.5891,100,88,44.13,27.02
183,Ostrovnoy,RU,68.0544,39.5129,99,95,22.68,4.56
184,Mahebourg,MU,-20.4081,57.7,29,81,74.97,7.2
185,Nizwa,OM,22.9324,57.5311,0,28,78.93,4.27
186,Mikkeli,FI,61.6878,27.2727,98,85,47.14,11.81
187,La Grande,US,45.3246,-118.0879,42,41,45.37,6.22
188,Qaanaaq,GL,77.484,-69.3633,100,88,26.35,15.55
189,Haapiti,PF,-17.5667,-149.8667,25,63,78.33,7.31
190,Porto Novo,BR,-23.6775,-45.4418,43,79,71.76,7.52
191,Portland,US,43.661,-70.2549,0,69,56.52,20.87
192,Carballo,ES,43.2134,-8.6889,100,97,57.24,7.05
193,Dickinson,US,46.8792,-102.7897,87,74,38.64,11.14
194,Tasiilaq,GL,65.6145,-37.6368,0,53,20.79,4.74
195,Vila Franca do Campo,PT,37.7167,-25.4334,83,85,72.05,21.77
196,College,US,64.8569,-147.8028,78,80,26.26,2.89
197,Hokitika,NZ,-42.7179,170.9646,100,73,51.98,27.27
198,Shitanjing,CN,39.2342,106.3439,8,42,36.9,3.18
199,Bereda,ES,43.2686,-7.5406,93,93,57.76,9.55
200,Teberda,RU,43.4411,41.7437,14,69,34.39,6.64
201,Deputatskiy,RU,69.3,139.9,0,95,-3.18,3.02
202,Jalu,LY,29.0331,21.5482,0,51,70.57,7.31
203,Tequila,MX,20.8851,-103.8393,51,60,81.18,1.14
204,Hargeysa,SO,9.56,44.065,5,56,67.39,11.48
205,Vieques,PR,18.425,-65.833,90,70,84.15,13.98
206,Rio Gallegos,AR,-51.6227,-69.2182,96,66,56.23,11.43
207,Svetlogorsk,RU,53.1375,59.1545,57,89,42.66,7.07
208,East London,ZA,-33.0153,27.9116,100,76,68.94,22.53
209,Luganville,VU,-15.5122,167.1784,100,93,69.94,4.81
210,Aklavik,CA,68.2183,-135.0136,100,95,17.78,9.01
211,Hambantota,LK,6.1241,81.1185,100,82,78.37,11.54
212,Thenzawl,IN,23.2813,92.7753,98,98,61.05,1.88
213,Bethel,US,60.7922,-161.7559,100,80,30.85,10.87
214,Yumen,CN,40.2917,97.0449,95,18,34.47,4.72
215,Guerrero Negro,MX,27.971,-114.0364,0,24,84.42,5.7
216,Inhambane,MZ,-23.866,35.3844,32,88,81.46,7.16
217,Port Blair,IN,11.6667,92.75,0,70,83.52,5.73
218,Hervey Bay,AU,-25.2986,152.8535,11,76,64.31,4.12
219,Mehamn,NO,71.035,27.8517,100,71,29.82,8.7
220,Mayumba,GA,-3.4391,10.6473,100,88,78.62,10.54
221,Hasaki,JP,35.7333,140.8333,100,76,70.57,28.88
222,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,90,63,34.27,10.6
223,Kibakwe,TZ,-6.7138,36.3715,91,74,72.82,9.8
224,Kalianget,ID,-7.7406,113.6786,89,75,80.82,6.13
225,Srednekolymsk,RU,67.4555,153.7071,8,100,-8.0,1.32
226,Kavieng,PG,-2.5745,150.7967,98,78,84.34,18.23
227,Sovetskiy,RU,56.763,48.4743,100,92,41.29,4.47
228,Iqaluit,CA,63.7494,-68.5219,100,98,32.92,21.3
229,Nioro,GM,13.7912,-15.0495,69,50,91.2,10.11
230,Beruwala,LK,6.4788,79.9828,100,86,76.41,3.38
231,Broome,GB,52.4688,1.4544,99,85,50.56,13.2
232,Nishihara,JP,35.7387,139.5312,100,64,66.78,14.52
233,Raudeberg,NO,61.9875,5.1352,100,82,50.72,14.41
234,Baruun-Urt,MN,46.6808,113.2846,27,77,22.82,10.09
235,Saquena,PE,-4.6667,-73.5167,76,58,87.8,4.68
236,Sechura,PE,-5.5576,-80.8224,60,94,61.66,16.96
237,Cumberland,US,41.9668,-71.4329,0,41,63.48,9.28
238,Shahr-e Babak,IR,30.1192,55.1243,12,32,56.05,2.59
239,Darnah,LY,32.767,22.6367,85,76,72.05,15.1
240,Hami,CN,42.8354,93.5128,0,28,34.75,1.7
241,Demirci,TR,39.0508,28.6622,0,61,63.5,8.97
242,Nova Vicosa,BR,-17.892,-39.372,78,77,77.94,14.7
243,Kota Kinabalu,MY,5.978,116.0729,100,76,80.78,4.88
244,Faanui,PF,-16.4834,-151.75,11,62,79.18,8.93
245,Pokhara,NP,28.2095,83.9914,0,92,59.88,2.24
246,Panzhihua,CN,26.586,101.7179,100,79,59.5,2.01
247,Iskilip,TR,40.7313,34.4733,7,55,59.4,3.6
248,Le Port,FR,42.8663,1.374,96,81,55.06,4.05
249,Kingsland,US,30.8,-81.6899,85,59,77.36,10.51
250,Longyearbyen,NO,78.2198,15.6349,0,83,12.06,4.97
251,Olinda,AU,-37.8438,145.3856,0,25,76.82,16.26
252,Henties Bay,NA,-22.1161,14.2845,0,43,66.78,9.44
253,Elizabeth City,US,36.2957,-76.2248,0,47,67.12,5.95
254,Pechenga,RU,58.8862,41.4589,38,96,39.11,4.32
255,Meiganga,CM,6.5172,14.2947,60,93,68.04,3.27
256,Emerald,AU,-23.5264,148.1619,60,85,64.62,6.44
257,Saldanha,PT,41.4184,-6.5524,76,83,53.73,4.94
258,Balabac,PH,7.9868,117.0645,69,79,81.79,6.58
259,Saint-Augustin,CA,45.6256,-73.9796,89,70,58.05,22.77
260,Lufilufi,WS,-13.8745,-171.5986,35,76,80.04,9.26
261,Narsaq,GL,60.9127,-46.0453,100,75,30.76,0.38
262,Walla Walla,US,46.065,-118.3303,31,23,59.22,3.49
263,Fairbanks,US,64.8378,-147.7167,84,75,27.16,2.77
264,Chumikan,RU,54.7183,135.315,57,83,30.83,2.68
265,Bad Doberan,DE,54.1059,11.9026,3,92,54.23,7.58
266,Jiuquan,CN,39.7321,98.4937,95,24,32.83,0.54
267,Northam,AU,-31.6536,116.6727,0,93,50.74,5.64
268,Davila,PH,18.4726,120.5763,0,80,80.58,26.04
269,Jumla,NP,29.2754,82.1825,0,76,36.41,4.25
270,Thetford Mines,CA,46.0913,-71.3013,45,63,54.75,11.18
271,Mahanoro,MG,-19.9,48.8,0,84,77.59,19.98
272,Beloha,MG,-25.1739,45.0615,0,62,77.74,1.57
273,Katsuura,JP,33.9258,134.505,100,94,63.77,10.94
274,Faya,SA,18.3851,42.4509,9,73,68.29,4.81
275,Lata,IN,30.7809,78.6152,13,82,23.74,2.26
276,Ahipara,NZ,-35.1665,173.1562,21,73,55.74,18.99
277,Norman Wells,CA,65.2824,-126.8328,100,92,23.76,5.32
278,Salisbury,GB,51.0737,-1.7952,33,91,48.74,7.99
279,The Valley,AI,18.217,-63.0579,9,76,86.18,12.93
280,Launceston,AU,-41.4341,147.1373,0,67,52.05,3.33
281,Paamiut,GL,61.994,-49.6678,100,74,36.27,12.91
282,Tabou,CI,4.4194,-7.3604,100,87,77.85,2.66
283,Carnarvon,ZA,-30.9678,22.1333,100,18,69.35,16.82
284,Margate,AU,-43.0274,147.2623,86,53,64.74,13.22
285,Athabasca,CA,54.7215,-113.2858,100,70,44.53,12.06
286,Roseburg,US,43.2165,-123.3418,73,31,62.91,2.86
287,Lakhnadon,IN,22.6012,79.6091,93,71,68.65,4.65
288,Vertientes,CU,21.258,-78.1502,0,72,84.38,16.55
289,Marawi,PH,8.0035,124.2866,100,96,73.08,3.18
290,Belyy Yar,RU,53.6039,91.3903,100,79,35.74,5.17
291,Nova Londrina,BR,-22.764,-52.9868,0,33,89.69,5.99
292,Cabedelo,BR,-6.9733,-34.8352,23,64,82.51,14.85
293,Russkaya Polyana,RU,53.7804,73.8821,92,83,41.67,12.08
294,Berezovyy,RU,51.6667,135.7,85,89,31.55,0.89
295,Abu Kamal,SY,34.4506,40.9171,33,43,74.7,8.77
296,Esperance,AU,-33.8583,121.8932,38,70,59.56,27.27
297,Pringsewu,ID,-5.3555,104.9774,55,98,70.47,2.48
298,Novaya Igirma,RU,57.1386,103.9276,100,96,29.26,8.88
299,Talnakh,RU,69.494,88.3908,100,94,25.05,11.74
300,Bilma,NE,18.6929,12.9187,26,22,84.25,6.96
301,Souillac,FR,45.6006,-0.6,58,90,58.6,8.63
302,Terrace Bay,CA,48.7824,-87.1024,100,71,36.07,9.4
303,Kayes,ML,14.4434,-11.438,98,45,92.01,2.28
304,Vanimo,PG,-2.6741,141.3028,100,77,82.18,5.21
305,Xifeng,CN,42.7327,124.7154,100,77,45.86,8.86
306,La Palma,CO,5.3606,-74.3906,94,60,82.36,3.53
307,Pasvalys,LT,56.0623,24.3966,11,90,51.57,8.63
308,Sisophon,KH,13.5884,102.97,44,85,77.68,2.84
309,Tahoua,NE,14.8899,5.2621,96,13,93.94,8.84
310,Umabay,PH,12.3095,123.6796,0,85,79.16,8.37
311,Leh,IN,34.1642,77.5848,56,37,26.82,4.92
312,Berwick,US,29.693,-91.2236,100,64,72.14,7.9
313,Quatro Barras,BR,-25.3709,-49.0746,57,81,68.9,4.25
314,Rorvik,NO,64.8621,11.2373,100,76,50.0,17.07
315,Soyo,AO,-6.1334,12.3718,38,80,81.5,8.05
316,Tomatlan,MX,19.9333,-105.25,85,55,87.17,4.25
317,Melilla,EC,-0.7961,-80.2259,55,38,92.39,4.47
318,Vila Velha,BR,-3.7125,-38.6045,77,75,86.59,15.64
319,San Patricio,PY,-26.9767,-56.8274,0,37,83.82,7.96
320,Rio Cauto,CU,20.5603,-76.9162,17,64,87.19,14.81
321,Bowen,AU,-20.0107,148.2468,65,78,72.1,15.26
322,Castanos,MX,26.7833,-101.4167,0,51,80.58,4.47
323,Ngunguru,NZ,-35.6167,174.5,3,78,52.52,15.32
324,Liuhe,CN,42.2779,125.7349,71,68,46.13,9.42
325,Repnoye,RU,51.5904,43.1759,0,77,51.57,4.54
326,Edeia,BR,-17.3384,-49.9314,83,37,92.01,2.75
327,Marsh Harbour,BS,26.5383,-77.0611,18,77,81.28,18.37
328,Weinan,CN,34.5037,109.4573,100,67,50.02,3.74
329,Fortuna,US,40.5974,-124.1561,45,14,76.6,4.16
330,San Cristobal,HN,14.6765,-86.9185,32,55,81.91,6.89
331,Kaitangata,NZ,-46.2818,169.8464,100,76,46.24,35.14
332,Labuhan,ID,-2.5409,115.5092,5,87,74.61,1.48
333,Palmer,AU,-34.8528,139.1601,53,75,55.67,11.61
334,Obihiro,JP,42.9191,143.1965,93,90,43.32,1.5
335,Ewa Beach,US,21.3156,-158.0089,0,80,78.89,3.18
336,Basco,US,40.3278,-91.2002,100,59,48.97,7.58
337,Dunedin,NZ,-45.874,170.5035,98,74,46.11,35.1
338,Nouadhibou,MR,20.931,-17.0347,47,64,80.44,14.85
339,Shingu,JP,33.7241,135.993,100,89,70.16,29.28
340,Semey,KZ,50.405,80.2492,100,65,42.84,10.2
341,Moose Factory,CA,51.2585,-80.6095,97,81,38.86,19.46
342,Ribeira Grande,PT,38.5167,-28.7001,98,91,69.21,16.46
343,Ambilobe,MG,-13.1945,49.05,0,63,78.33,11.74
344,Kaitong,CN,44.8135,123.15,100,82,36.01,14.16
345,Trenggalek,ID,-8.0491,111.7091,21,91,68.4,3.4
346,Honningsvag,NO,70.9821,25.9704,100,65,33.53,18.45
347,Kobryn,BY,52.2138,24.3564,0,89,57.97,8.43
348,Pangnirtung,CA,66.149,-65.7179,100,81,41.27,11.48
349,Leningradskiy,RU,69.3833,178.4167,58,76,17.73,24.99
350,Fort Beaufort,ZA,-32.7767,26.6333,100,74,60.73,5.44
351,Shasta Lake,US,40.68,-122.3627,52,10,78.13,6.6
352,Cody,US,44.5263,-109.0564,66,29,39.83,5.75
353,Great Falls,US,47.5049,-111.2919,55,45,45.0,12.91
354,Paidha,UG,2.4167,30.9853,48,89,65.41,5.59
355,Lebu,ET,8.9611,38.7254,0,59,51.39,4.43
356,Chaiya,IN,29.2799,74.4818,0,21,76.33,7.63
357,Jimma,ET,7.6741,36.8393,0,79,57.58,1.45
358,Nizhniy Kuranakh,RU,58.8353,125.4869,88,95,17.17,3.67
359,Zhigansk,RU,66.7656,123.3741,100,93,11.82,11.92
360,Masallatah,LY,32.6167,14.0,100,40,76.05,2.91
361,Yasnogorsk,RU,54.4793,37.6933,75,77,49.53,3.47
362,Palma,BR,-29.7268,-53.5802,0,37,76.42,6.22
363,Yulara,AU,-25.2411,130.9869,65,43,77.27,11.99
364,Gillette,US,44.2906,-105.5019,55,35,39.92,9.91
365,Yining,CN,29.0361,114.5636,84,66,59.67,1.39
366,Comodoro Rivadavia,AR,-45.8654,-67.4808,8,45,68.58,9.37
367,Namatanai,PG,-3.6642,152.4407,80,76,82.54,8.97
368,Sorland,NO,67.667,12.6934,100,91,49.51,25.95
369,Kuytun,RU,54.3442,101.5062,100,65,30.2,4.54
370,Palana,RU,59.0828,159.9513,0,79,16.65,1.66
371,Tsabong,BW,-26.0218,22.401,0,11,83.26,10.47
372,Kutum,SD,14.2031,24.6617,43,32,78.93,5.21
373,Bilibino,RU,68.055,166.4449,100,99,-4.78,3.53
374,Biak,ID,-0.9132,122.8766,18,79,80.65,8.72
375,Tongren,CN,27.7223,109.1838,100,95,58.3,4.27
376,Bontang,ID,0.1237,117.4717,2,76,82.02,7.16
377,Husavik,CA,50.5623,-96.9949,66,55,37.63,6.67
378,Along,IN,28.1698,94.7985,100,96,58.24,1.77
379,Mendi,ET,9.8,35.1,33,91,64.53,2.35
380,Tura,RU,64.2742,100.217,86,95,12.97,3.94
381,Muros,ES,42.7744,-9.0576,100,94,58.78,9.64
382,Corpus Christi,US,27.8003,-97.3956,70,61,85.91,16.8
383,Itarema,BR,-2.9248,-39.9167,87,53,87.31,15.21
384,Samana,EC,0.1222,-76.9728,72,78,83.3,2.98
385,Burdur,TR,37.7248,30.2887,2,60,61.83,0.98
386,Lagoa,PT,37.1363,-8.4541,0,68,66.92,9.78
387,Lindsay,CA,44.3551,-78.7405,81,69,54.7,11.99
388,Maraa,BR,-1.8334,-65.3667,100,96,75.27,4.5
389,Nanortalik,GL,60.1432,-45.2372,100,81,36.77,12.48
390,Ailigandi,PA,9.2333,-78.0167,41,81,83.08,1.12
391,Sfantu Gheorghe,RO,44.65,26.8333,0,53,61.66,7.63
392,Russellville,US,35.2784,-93.1338,99,68,59.92,8.48
393,Antalaha,MG,-14.902,50.2794,42,75,78.98,15.01
394,Kon Tum,VN,14.3615,108.0039,1,96,63.75,2.68
395,Bang Saphan,TH,11.2126,99.5117,66,78,78.87,4.63
396,Aswan,EG,24.0911,32.8973,0,24,77.56,12.46
397,Aanekoski,FI,62.6,25.7333,100,87,49.01,9.84
398,Mihaileni,RO,47.9667,26.15,0,67,55.96,5.84
399,Kungurtug,RU,50.5987,97.5254,60,71,16.11,4.7
400,Ornskoldsvik,SE,63.2909,18.7153,100,94,43.09,3.56
401,Pouebo,NC,-20.4,164.5667,49,92,60.46,4.07
402,Pecos,US,31.4245,-103.4935,65,44,57.97,19.98
403,Posevnaya,RU,54.3006,83.3297,100,96,36.95,13.56
404,Ambon,FR,47.5542,-2.5567,67,81,57.76,15.3
405,Genhe,CN,50.7833,121.5167,97,84,18.59,4.03
406,Okhotsk,RU,59.3644,143.2411,97,64,22.69,10.45
407,Gavle,SE,60.6745,17.1417,100,89,51.19,6.62
408,Kurmanayevka,RU,52.5093,52.0675,57,81,47.89,1.66
409,Waipawa,NZ,-39.9412,176.5913,3,79,51.42,9.35
410,Ternate,PH,14.2859,120.7165,8,87,82.18,9.31
411,Dingzhou,CN,38.5112,114.997,0,34,49.59,5.93
